id,genre,track_name,artist_name,valence,energy;
3cnRYoW4nYzIuVPCp7k5iG,acoustic,Breakdown,Jack Johnson,0.443,0.394;
6vxHp3CDNo0afgKGp2yi1E,acoustic,Me and Julio Down by the Schoolyard,Paul Simon,0.798,0.816;
5z1vCywwTJAP8qSkGJymFY,acoustic,Creep - Live,Korn,0.236,0.534;
4I2GqMe7L2ccMpUbnDzYLH,acoustic,Somebody To Love,Justin Bieber,0.636,0.839;
7z7fquRFQFXt4Dj7ouWETq,acoustic,Hey There Delilah,Plain White T's,0.304,0.373;
4nVBt6MZDDP6tRVdQTgxJg,acoustic,Story of My Life,One Direction,0.286,0.663;
2xDDetMrYexhj1gKK634iC,acoustic,Don't You Worry Child,Kurt Hugo Schneider,0.287,0.386;
3gqP2hxwgi6mb8FhtEe4zU,acoustic,The Wolves,Ben Howard,0.507,0.531;
2qppEPX84bYQmgBjCeF8FO,acoustic,Love Is All,The Tallest Man On Earth,0.354,0.254;
23NPGXlSaIqWzvxIRhM2oG,acoustic,Under the Bridge,Red Hot Chili Peppers,0.513,0.49;
6mTnbyE5dsvXksrL86EbJU,acoustic,Handens fem fingrar,Lisa Nilsson,0.468,0.104;
0QAHRzFbCz3S4EyFPdNrQq,acoustic,Strawberry Fields Forever (feat. Los Panchos),Karen Souza,0.58,0.478;
65n5737O8JVOzgy8wQawyi,acoustic,All That Matters,Justin Bieber,0.17,0.521;
4AFBHrMN93QKtyQP5Pmz1t,acoustic,Perfect,Various Artists,0.598,0.432;
4KSZnP1VFSaytKufyzNbDO,acoustic,The Power of Love,Gabrielle Aplin,0.214,0.297;
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238;
0kH34dqX33tTq0ZEyoBFIm,acoustic,Fever To The Form,Nick Mulvey,0.237,0.566;
2lFTzUnuGaWlWHJQokjRyb,acoustic,Blue Jeans,Lana Del Rey,0.488,0.837;
5lxNrjf5UJhcsd8zx9AB1Y,acoustic,Home,Johnnyswim,0.524,0.628;
2izoqbHZCGaoFOO8vcc1hK,acoustic,Boyfriend,Alex G,0.741,0.737;
0Cll7d8lmNn05ZOVm5l5va,acoustic,Over The Rainbow/What A Wonderful World,Various Artists,0.661,0.16;
3GEKqgBUD2WQIsuVBv9rU0,acoustic,American Boy - Radio 1 Live Lounge,Sam Sparro,0.637,0.564;
5mMV6EaKeZWkGFvE1xg13n,acoustic,Towers,Bon Iver,0.145,0.321;
4FLvG5dzvorjI9USGay9wB,acoustic,Euphoria,Tyler Ward,0.272,0.624;
5VFzIzR8nACf9Bad4O73f6,acoustic,Hurt,Johnny Cash,0.157,0.292;
5SdG78xwNRsjXmFGhm9Z8D,acoustic,Om du letar efter nån,Melissa Horn,0.658,0.284;
70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,0.186,0.415;
2XpeEJgRYnKl41tJia9ggT,acoustic,Thought Of You,Justin Bieber,0.521,0.718;
4oa14QBfWRDfJy2agySy0L,acoustic,Gravity,Sara Bareilles,0.231,0.275;
0EYKD5N0mldDeVTCzCfzqr,acoustic,Thrift Shop,Tyler Ward,0.472,0.533;
6bRgyHxbPkvrHiQFSWxo1B,acoustic,Halo,Ane Brun,0.223,0.14;
5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.594,0.554;
0ygAYQQy7bfDN6gH640bbl,acoustic,Wake Me Up,Ed Sheeran,0.336,0.209;
6shRGWCtBUOPFLFTTqXZIC,acoustic,Upside Down,Jack Johnson,0.65,0.655;
5gf6t8j49qayhwrnd05uLI,acoustic,Crosses,Various Artists,0.318,0.37;
3gSvJ7SBbRVyJWuw7gWWc8,acoustic,Two Is Better Than One,Tyler Ward,0.249,0.369;
2bkobNV1AyahJ2sbGriUyW,acoustic,Fields of Gold (feat. Eva Cassidy),Michael Bolton,0.236,0.109;
7iBSkXB0pTvZasOLf0Qxk9,acoustic,Autumn Leaves - Deluxe Edition,Ed Sheeran,0.431,0.257;
